,text,label_category
0,Always a fun place ... the food is deeelish !,"[1, 0, 0, 1, 0, 0]"
1,"The staff is n't the friendliest or most competent , and I am stickler for service , but everything else about this place makes up for it .","[0, 1, 0, 0, 0, 0]"
2,"Great for groups , great for a date , great for early brunch or a nightcap .","[1, 0, 0, 0, 0, 0]"
3,Another great place to take out-of-towners !,"[0, 0, 0, 0, 0, 1]"
4,: ),"[0, 0, 0, 0, 0, 1]"
5,"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !","[0, 1, 0, 0, 0, 0]"
6,"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .","[0, 1, 0, 0, 0, 0]"
7,"The waitress , seems to be more concerned of looking good than actually waitressing .","[0, 1, 0, 0, 0, 0]"
8,"After dinner the manager grabbed my boyfriend , asked him : Where are you from ...maybe you dont know how things work in America ...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .","[0, 0, 0, 0, 1, 0]"
9,"We did tip , I guess the model just wanted more and complained to the manager .","[0, 0, 0, 0, 1, 0]"
10,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .","[0, 1, 0, 0, 0, 0]"
11,My friends and I showed up on a Sat .,"[0, 0, 0, 0, 1, 0]"
12,"night without a reservation , we had to wait at the bar for a little while , but the manager was so nice and made our wait a great experience .","[0, 1, 0, 0, 0, 0]"
13,"Bar was a little bit crowded , but these five girls know how to have fun ! ! it was a little hard to understand the waitress and she seemed to have little patience with our questions .","[1, 1, 0, 0, 0, 0]"
14,We had to ask the manager and he was very helpful .Food was great and so was music !,"[0, 1, 0, 1, 0, 0]"
15,We will come back ! ! !,"[0, 0, 0, 0, 0, 1]"
16,Busy . Crow ded .,"[1, 0, 0, 0, 0, 0]"
17,Sexy .,"[0, 0, 0, 0, 0, 1]"
18,Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening .,"[1, 1, 0, 0, 0, 0]"
19,Would n't have it any other way ... made great recommendations and gave out group the full treatment .,"[0, 1, 0, 0, 0, 0]"
20,Food was average but tasty .,"[0, 0, 0, 1, 0, 0]"
