,text,label_category
0,Being a PC user my whole life....,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,This computer is absolutely AMAZING!!!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
2,10 plus hours of battery...,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
3,super fast processor and really nice graphics card..,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
5,This computer is really fast and I'm shocked as to how easy it is to get used to...,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
6,I've only had mine a day but I'm already used to it...,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7,MACS ARE AMAZING!!!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"[0, 0, 1, 1, 0, 0, 0, 0, 0]"
9,the laptop was really good and it goes really fast just the way i thought it would of run.,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
10,i would really recommend to any person out there to get this laptop cause its really worth it.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
11,and its really cheap and you wont regret buying it.,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
12,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","[0, 0, 0, 1, 0, 1, 1, 0, 0]"
14,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","[0, 1, 0, 1, 0, 0, 0, 0, 1]"
15,I highly recommend this computer for students looking for a solid machine to get them through college.,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
16,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
17,Oh my goodness-I am not a happy camper.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
18,My HP is very heavy.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
19,Not easy to carry.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
20,The battery has never worked well.,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
21,The battery gets so HOT it is scary.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
22,"Yet, HP won't do anything about the problem.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
23,I returned the computer to HP and they kept it for 3 months.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
24,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
